"interface_id","hostname","private_name","primary","interface","designation","mac","ipv4","ipv6"
"220","cn0023","cn0023-e0","0","eth0","e0","38:EA:A7:12:34:28","10.1.20.23","NULL"
"221","cn0024","cn0024-e0","0","eth0","e0","38:EA:A7:12:35:04","10.1.20.24","NULL"
"222","cn0025","cn0025-e0","0","eth0","e0","38:EA:A7:12:36:60","10.1.20.25","NULL"
"223","cn0026","cn0026-e0","0","eth0","e0","38:EA:A7:12:32:DC","10.1.20.26","NULL"
"224","cn0027","cn0027-e0","0","eth0","e0","38:EA:A7:12:34:34","10.1.20.27","NULL"
"225","cn0028","cn0028-e0","0","eth0","e0","38:EA:A7:12:34:7C","10.1.20.28","NULL"
"226","cn0029","cn0029-e0","0","eth0","e0","38:EA:A7:12:33:A8","10.1.20.29","NULL"
"227","cn0030","cn0030-e0","0","eth0","e0","38:EA:A7:12:34:AC","10.1.20.30","NULL"
"228","cn0031","cn0031-e0","0","eth0","e0","38:EA:A7:12:32:CC","10.1.20.31","NULL"
"229","cn0032","cn0032-e0","0","eth0","e0","38:EA:A7:12:34:B0","10.1.20.32","NULL"
"230","cn0033","cn0033-e0","0","eth0","e0","38:EA:A7:12:32:F0","10.1.20.33","NULL"
"231","cn0034","cn0034-e0","0","eth0","e0","38:EA:A7:12:32:D8","10.1.20.34","NULL"
"232","cn0035","cn0035-e0","0","eth0","e0","38:EA:A7:12:33:40","10.1.20.35","NULL"
"233","cn0036","cn0036-e0","0","eth0","e0","38:EA:A7:12:39:68","10.1.20.36","NULL"
"234","cn0037","cn0037-e0","0","eth0","e0","38:EA:A7:12:32:90","10.1.20.37","NULL"
"235","cn0038","cn0038-e0","0","eth0","e0","38:EA:A7:12:37:44","10.1.20.38","NULL"
"236","cn0039","cn0039-e0","0","eth0","e0","38:EA:A7:12:32:9C","10.1.20.39","NULL"
"237","cn0040","cn0040-e0","0","eth0","e0","38:EA:A7:12:32:E0","10.1.20.40","NULL"
"238","cn0041","cn0041-e0","0","eth0","e0","38:EA:A7:12:35:C0","10.1.20.41","NULL"
"239","cn0042","cn0042-e0","0","eth0","e0","38:EA:A7:12:3A:0C","10.1.20.42","NULL"
"240","cn0043","cn0043-e0","0","eth0","e0","38:EA:A7:12:3A:18","10.1.20.43","NULL"
"241","cn0044","cn0044-e0","0","eth0","e0","38:EA:A7:12:3A:70","10.1.20.44","NULL"
"242","cn0045","cn0045-e0","0","eth0","e0","38:EA:A7:12:39:7C","10.1.20.45","NULL"
"243","cn0045","cn0045-ilo","0","iLO4","ilo","9C:B6:54:AD:F4:FC","10.4.20.45","NULL"
"244","cn0046","cn0046-e0","0","eth0","e0","38:EA:A7:12:3A:08","10.1.20.46","NULL"
"245","cn0047","cn0047-e0","0","eth0","e0","38:EA:A7:12:38:60","10.1.20.47","NULL"
"246","cn0048","cn0048-e0","0","eth0","e0","38:EA:A7:12:39:58","10.1.20.48","NULL"
"247","cn0049","cn0049-e0","0","eth0","e0","38:EA:A7:12:33:C0","10.1.20.49","NULL"
"248","cn0050","cn0050-e0","0","eth0","e0","38:EA:A7:12:34:54","10.1.20.50","NULL"
"249","cn0051","cn0051-e0","0","eth0","e0","38:EA:A7:12:34:E0","10.1.20.51","NULL"
"250","cn0052","cn0052-e0","0","eth0","e0","38:EA:A7:12:33:DC","10.1.20.52","NULL"
"251","cn0053","cn0053-e0","0","eth0","e0","38:EA:A7:12:32:3C","10.1.20.53","NULL"
"252","cn0054","cn0054-e0","0","eth0","e0","38:EA:A7:12:34:58","10.1.20.54","NULL"
"253","cn0055","cn0055-e0","0","eth0","e0","38:EA:A7:12:34:18","10.1.20.55","NULL"
"254","cn0056","cn0056-e0","0","eth0","e0","38:EA:A7:12:32:20","10.1.20.56","NULL"
"255","cn0057","cn0057-e0","0","eth0","e0","38:EA:A7:12:38:C4","10.1.20.57","NULL"
"256","cn0058","cn0058-e0","0","eth0","e0","38:EA:A7:12:39:A4","10.1.20.58","NULL"
"257","cn0059","cn0059-e0","0","eth0","e0","38:EA:A7:12:3A:3C","10.1.20.59","NULL"
"258","cn0060","cn0060-e0","0","eth0","e0","38:EA:A7:12:37:E0","10.1.20.60","NULL"
"259","cn0061","cn0061-e0","0","eth0","e0","38:EA:A7:12:39:48","10.1.20.61","NULL"
"260","cn0061","cn0061-ilo","0","iLO4","ilo","9C:B6:54:AD:FA:88","10.4.20.61","NULL"
"261","cn0062","cn0062-e0","0","eth0","e0","38:EA:A7:12:38:E8","10.1.20.62","NULL"
"262","cn0063","cn0063-e0","0","eth0","e0","8C:DC:D4:B4:48:1C","10.1.20.63","NULL"
"263","cn0064","cn0064-e0","0","eth0","e0","38:EA:A7:12:39:18","10.1.20.64","NULL"
"264","cn0065","cn0065-e0","0","eth0","e0","38:EA:A7:12:37:34","10.1.20.65","NULL"
"265","cn0066","cn0066-e0","0","eth0","e0","38:EA:A7:12:32:2C","10.1.20.66","NULL"
"266","cn0067","cn0067-e0","0","eth0","e0","38:EA:A7:12:39:F4","10.1.20.67","NULL"
"267","cn0068","cn0068-e0","0","eth0","e0","38:EA:A7:12:36:D4","10.1.20.68","NULL"
"268","cn0069","cn0069-e0","0","eth0","e0","38:EA:A7:12:35:E0","10.1.20.69","NULL"
"269","cn0070","cn0070-e0","0","eth0","e0","38:EA:A7:12:39:28","10.1.20.70","NULL"
"270","cn0071","cn0071-e0","0","eth0","e0","38:EA:A7:12:36:D8","10.1.20.71","NULL"
"271","cn0072","cn0072-e0","0","eth0","e0","38:EA:A7:12:38:D4","10.1.20.72","NULL"
"272","cn0073","cn0073-e0","0","eth0","e0","38:EA:A7:12:36:7C","10.1.20.73","NULL"
"273","cn0074","cn0074-e0","0","eth0","e0","38:EA:A7:12:35:14","10.1.20.74","NULL"
"274","cn0075","cn0075-e0","0","eth0","e0","38:EA:A7:12:35:3C","10.1.20.75","NULL"
"275","cn0076","cn0076-e0","0","eth0","e0","38:EA:A7:12:35:80","10.1.20.76","NULL"
"276","cn0077","cn0077-e0","0","eth0","e0","38:EA:A7:12:37:A0","10.1.20.77","NULL"
"277","cn0078","cn0078-e0","0","eth0","e0","38:EA:A7:12:33:F4","10.1.20.78","NULL"
"278","cn0079","cn0079-e0","0","eth0","e0","38:EA:A7:12:33:F0","10.1.20.79","NULL"
"279","cn0080","cn0080-e0","0","eth0","e0","38:EA:A7:12:33:74","10.1.20.80","NULL"
"280","cn0081","cn0081-e0","0","eth0","e0","38:EA:A7:12:33:2C","10.1.20.81","NULL"
"281","cn0082","cn0082-e0","0","eth0","e0","38:EA:A7:12:33:1C","10.1.20.82","NULL"
"282","cn0083","cn0083-e0","0","eth0","e0","38:EA:A7:12:32:BC","10.1.20.83","NULL"
"283","cn0084","cn0084-e0","0","eth0","e0","38:EA:A7:12:33:C8","10.1.20.84","NULL"
"284","cn0085","cn0085-e0","0","eth0","e0","38:EA:A7:12:32:5C","10.1.20.85","NULL"
"285","cn0086","cn0086-e0","0","eth0","e0","38:EA:A7:12:32:88","10.1.20.86","NULL"
"286","cn0087","cn0087-e0","0","eth0","e0","38:EA:A7:12:33:44","10.1.20.87","NULL"
"287","cn0088","cn0088-e0","0","eth0","e0","38:EA:A7:12:34:44","10.1.20.88","NULL"
"288","cn0089","cn0089-e0","0","eth0","e0","38:EA:A7:12:63:CC","10.1.20.89","NULL"
"289","cn0090","cn0090-e0","0","eth0","e0","38:EA:A7:12:61:D8","10.1.20.90","NULL"
"290","cn0091","cn0091-e0","0","eth0","e0","38:EA:A7:12:62:94","10.1.20.91","NULL"
"291","cn0092","cn0092-e0","0","eth0","e0","38:EA:A7:12:62:A4","10.1.20.92","NULL"
"292","cn0093","cn0093-e0","0","eth0","e0","38:EA:A7:12:62:68","10.1.20.93","NULL"
"293","cn0094","cn0094-e0","0","eth0","e0","38:EA:A7:12:63:80","10.1.20.94","NULL"
"294","cn0095","cn0095-e0","0","eth0","e0","38:EA:A7:12:62:9C","10.1.20.95","NULL"
"295","cn0096","cn0096-e0","0","eth0","e0","38:EA:A7:12:61:C4","10.1.20.96","NULL"
"296","cn0097","cn0097-e0","0","eth0","e0","38:EA:A7:12:63:5C","10.1.20.97","NULL"
"297","cn0098","cn0098-e0","0","eth0","e0","38:EA:A7:12:63:C8","10.1.20.98","NULL"
"298","cn0099","cn0099-e0","0","eth0","e0","38:EA:A7:12:61:74","10.1.20.99","NULL"
"299","cn0100","cn0100-e0","0","eth0","e0","38:EA:A7:12:63:D0","10.1.20.100","NULL"
"300","cn0101","cn0101-e0","0","eth0","e0","38:EA:A7:12:61:EC","10.1.20.101","NULL"
"301","cn0102","cn0102-e0","0","eth0","e0","38:EA:A7:12:63:64","10.1.20.102","NULL"
"302","cn0103","cn0103-e0","0","eth0","e0","38:EA:A7:12:63:18","10.1.20.103","NULL"
"303","cn0104","cn0104-e0","0","eth0","e0","38:EA:A7:12:63:60","10.1.20.104","NULL"
"304","cn0105","cn0105-e0","0","eth0","e0","38:EA:A7:12:60:C0","10.1.20.105","NULL"
